"Metabolite_sampleID","Microbiome_sampleID","Grouping"
1796,1796,0
1797,1797,1
1798,1798,0
1799,1799,0
1800,1800,0
1801,1801,0
1802,1802,0
1803,1803,1
1805,1805,0
1807,1807,1
1808,1808,0
1809,1809,0
1811,1811,0
1812,1812,0
1813,1813,0
1814,1814,0
1815,1815,0
1816,1816,0
1819,1819,1
1820,1820,1
1823,1823,0
1824,1824,1
1826,1826,1
1827,1827,0
1830,1830,0
1831,1831,0
1832,1832,0
1834,1834,0
1835,1835,0
1837,1837,1
1838,1838,1
1840,1840,1
1841,1841,0
1843,1843,0
1844,1844,1
1845,1845,1
1846,1846,1
1847,1847,1
1848,1848,0
