"","Firmicutes unclassified"
"Naringin",0.0761249186282721
"Aconitic acid",-0.321777418297614
"Halometasone",0.0667037806411222
"Pyroglutamic acid",-0.318623481781377
"Mannitol",-0.164372469635628
"N-Methylalanine",-0.314574898785425
"Glutamic acid",-0.326113360323887
"1,5-Pentanediamine",-0.129358773382935
"N-Methylglutamic acid",-0.177327935222672
"3-O-Methyluridine",-0.35331039395979
"2-Hydroxycinnamic acid",-0.331174089068826
"2-Hydroxyisobutyric acid",-0.24412955465587
"Indolelactic acid",-0.291407302853047
"N-Acetylserine",-0.341414039609264
"6,6-Dihydroxy-5,5-dimethoxybiphenyl-3,3-dicarboxylic acid",0.212753036437247
"Glyceric acid",-0.282591093117409
"trans-Zeatin",-0.0437246963562753
"2-{[2-Hydroxy-1,1-bis(hydroxymethyl)ethylammonio}ethanesulfonate",-0.225991002900861
"gamma-Aminobutyric acid",-0.195141700404858
"2,6-Diaminopimelic acid",-0.189198767175852
"N-Acetylserotonin",-0.0246976061857873
"4,6-Dihydroxypyrimidine",-0.241497975708502
"Methyl-4-hydroxy-3-methoxybenzoate",-0.151121008341723
"Desloratadine",-0.15487397589215
"2-Hydroxyquinoline",-0.246963562753036
"Glucuronic acid A",-0.465991902834008
"Epicatechin",0.0481805760017818
"13-Hydroxy-9Z,11E-octadecadienoic acid",0.0157894736842105
"4-Acetylbutyric acid",0.051417004048583
"Indoxyl sulfate",-0.0842190509426591
"2-Deoxyribose",-0.442307692307692
"N-Acetyldihydrosphingosine",-0.131578947368421
"Galactonic acid",-0.328744939271255
"Orotic acid",-0.253643724696356
"1-Methylxanthine",-0.47834008097166
"2-Propanamidoacetic acid",-0.230477251168187
